Component,String Resource Name,Language,,,,
,,English,日本語 (Japanese),Slovenský (Slovak),简体中文 (Simplified Chinese),العربية (Arabic)
,,en,ja,sk,zh-rCN,ar
Common,app_summary,Access online storage,オンラインストレージにアクセス,Prístup online úložiska,访问在线存储,الوصول إلى التخزين عبر الإنترنت
,dialog_accept,OK,OK,OK,OK,حسنا
,dialog_close,Close,閉じる,Zatvoriť,关闭,إغلاق
,,,,,,
Home Screen,home_open_file,Open,開く,Otvoriť,打开,فتح
,home_open_settings,Settings,設定,Nastavenie,设置,الإعدادات
,home_open_file_ng_message,Add any connection.,接続情報を登録してください。,Pridajte pripojenie.,请先添加连接,أضف أي إتصال
,home_add_connection_a11y,Add,追加,Pridať,添加,أضف
,,,,,,
Edit Screen,edit_title,Connection,接続情報,Pripojenie,连接,إتصال
,edit_id_title,ID,ID,ID,ID,بطاقة تعريف
,edit_id_hint,"Unique string (no "":"", ""/"")","一意の文字列 ("":"", ""/""は不可)","Jedinečný reťazec ("":"", ""/"" nie sú povolené)","唯一字符串 (不允许使用"":"", ""/"")",سلسلة فريدة (: و/ غير مسموح بها)
,edit_name_title,Name,名前,Názov,名称,الإسم
,edit_name_hint,Host name if empty,未入力の場合はホスト,"Použije sa názov hostiteľa, ak nevyplníte",如果留空则为主机名,إسم المضيف إذا كان خاليا
,edit_storage_title,Storage,ストレージ,Skladovanie,存储,التخزين (نوع المكتبة)
,edit_settings_section_title,Settings,設定,Nastavenie,设置,الإعدادات
,edit_domain_title,Domain,ドメイン,Doména,域名,النطاق
,edit_domain_hint,Input as needed,必要に応じて入力,Zadajte podľa potreby,按需填写,الإدخال حسب الحاجة
,edit_host_title,Host,ホスト,Hostiteľ,主机名,المضيف
,edit_host_hint,IP Address / Host,IPアドレス/ホスト名,Adresa IP / Názov servera,IP地址 / 主机名,عنوان ال ( آي بي ) للمضيف / الخادم
,edit_host_select_a11y,Browse,閲覧,Prehľadávať,浏览,تصفح
,edit_port_title,Port,ポート,Port,端口号,بوابة
,edit_port_hint,Default if empty,未入力の場合は標準ポート,"Predvolený, ak nevyplníte",如果留空则为默认值,أهمل إن كان خاليا
,edit_enable_dfs_label,Enable DFS (Distributed File System),DFS(Distributed File System)利用,Povoliť DFS (distribuovaný systém súborov),启用DFS（分布式文件系统）,فعّل - دي إف أس - ( نظام الملفات الموزعة )
,edit_directory_search_a11y,Browse,閲覧,Prehľadávať,浏览,تصفح
,edit_user_title,User,ユーザ名,Meno používateľa,用户名,المستخدم
,edit_user_hint,Invalid if anonymous,匿名の場合は無効,Neplatí pre anonymné prihlásenie,匿名访问时无效,باطل إذا كان مجهول
,edit_password_title,Password,パスワード,Heslo,密码,كلمة المرور
,edit_password_hint,Invalid if anonymous,匿名の場合は無効,Neplatí pre anonymné prihlásenie,匿名访问时无效,باطل إذا كان مجهول
,edit_anonymous_label,Anonymous,匿名,Anonymné prihlásenie,匿名,مجهول
,edit_ftp_mode_title,Active Mode,アクティブモード,Aktívny režim,活动模式,الوضع النشط
,edit_encoding_title,Character Code,文字コード,Kód postavy,字符代码,رمز الحرف
,edit_folder_title,Folder,フォルダ,Cesta,目录,المجلد
,edit_folder_hint,"""/"" if empty","未入力の場合は ""/""","""/"" ak nevyplníte","如果留空则为 ""/""","""/"" إذا كان خاليا"
,edit_option_section_title,Option,オプション,možnosti,选项,خيارات
,edit_option_safe_transfer_label,Safe data transfer,安全なデータ転送,Bezpečný prenos dát,安全的数据传输,نقل بيانات آمن
,edit_option_read_only_label,Read only,読込み専用,Iba na čítanie,只读,يقرأ فقط
